sample_date,sample_id,state,location_type,water_source,season,ph,turbidity_ntu,tds_mg_l,dissolved_oxygen_mg_l,bod_mg_l,fecal_coliform_mpn,total_coliform_mpn,nitrate_mg_l,fluoride_mg_l,chloride_mg_l,hardness_mg_l,temperature_c,arsenic_ug_l,iron_mg_l,population_served,sanitation_access_percent,cholera_outbreak,typhoid_outbreak,dysentery_outbreak,hepatitis_a_outbreak,overall_outbreak
2023-01-01 18:41:21.285419027,WQ000017,Meghalaya,Rural,River,Monsoon,6.48,1.11,410.15,4.01,3.25,308.22,805.61,0.64,0.06,25.21,90.52,25.15,7.01,0.77,100,40,1,1,1,1,1
2023-01-01 19:51:26.365757717,WQ000018,Tripura,Rural,River,Monsoon,6.66,54.4,447.91,6.6,0.75,20.53,48.04,13.62,0.25,53.61,134.52,23.64,4.53,0.22,50,80,0,0,0,0,0
2023-01-01 21:01:31.446096406,WQ000019,Meghalaya,Rural,Hand Pump,Monsoon,5.24,22.7,132.71,5.99,1.73,95.73,261.54,24.79,0.32,43.7,91.31,26.96,10.57,0.17,200,20,1,1,1,1,1
2023-01-01 22:11:36.526435095,WQ000020,Assam,Rural,Stream,Post-Monsoon,6.84,2.76,277.05,6.98,0.92,6.4,14.15,20.67,3.37,39.04,44.84,29.35,7.14,0.37,50,20,0,0,0,0,0
2023-01-01 23:21:41.606773784,WQ000021,Nagaland,Rural,Spring,Winter,6.94,1.98,509.3,7.05,14.45,9.28,24.31,20.4,0.81,59.4,95.62,17.82,7.82,0.08,200,60,0,0,0,0,0
2023-01-02 00:31:46.687112474,WQ000022,Assam,Rural,Well,Monsoon,5.92,4.0,63.33,5.73,3.03,75.52,216.99,3.64,2.11,76.85,95.91,25.78,8.62,0.01,2000,20,1,1,0,1,1
2023-01-02 01:41:51.767451163,WQ000023,Assam,Rural,Well,Monsoon,6.17,0.77,506.53,7.65,0.5,119.45,273.53,0.79,0.54,66.13,142.96,33.0,0.35,0.35,200,100,1,1,1,0,1
2023-01-02 02:51:56.847789852,WQ000024,Meghalaya,Rural,Hand Pump,Monsoon,6.02,1.9,267.58,8.34,8.35,6.92,22.94,21.23,0.28,5.0,129.88,28.72,2.94,0.1,200,20,0,0,0,0,0
2023-01-02 04:02:01.928128541,WQ000025,Tripura,Rural,Pond,Pre-Monsoon,7.37,0.76,637.74,3.31,3.24,50.96,130.01,19.77,0.3,24.81,85.05,30.68,8.07,2.65,50,60,1,0,0,0,1
2023-01-02 05:12:07.008467231,WQ000026,Mizoram,Urban,Well,Post-Monsoon,7.01,7.68,411.16,8.87,3.37,70.48,146.93,1.17,0.62,114.49,84.97,23.99,12.26,2.17,200,100,0,0,0,0,0
2023-01-02 06:22:12.088805920,WQ000027,Assam,Rural,Stream,Monsoon,5.69,15.81,237.93,6.05,1.11,98.03,210.11,5.38,0.87,40.97,101.91,28.21,18.64,0.01,100,60,1,1,0,1,1
2023-01-02 07:32:17.169144609,WQ000028,Tripura,Rural,Pond,Post-Monsoon,7.76,5.88,487.13,6.12,1.55,5.54,17.53,4.72,0.41,65.55,121.99,28.99,9.56,0.56,100,20,0,0,0,0,0
2023-01-02 08:42:22.249483298,WQ000029,Nagaland,Rural,Stream,Monsoon,5.51,23.21,550.65,9.55,2.97,36.63,127.61,1.14,0.0,13.4,43.25,25.97,0.15,0.26,50,80,0,0,0,0,0
2023-01-02 09:52:27.329821988,WQ000030,Assam,Rural,River,Winter,5.63,2.02,434.59,6.18,0.67,18.09,37.67,35.74,0.22,48.7,118.63,15.74,11.15,0.25,2000,60,0,0,0,0,0
2023-01-02 11:02:32.410160677,WQ000031,Nagaland,Rural,Hand Pump,Winter,6.8,2.93,287.57,1.06,1.64,37.35,88.47,16.43,0.71,5.0,20.01,19.98,2.53,0.03,500,100,0,0,0,0,0
2023-01-02 12:12:37.490499366,WQ000032,Assam,Urban,River,Winter,6.8,0.95,551.36,3.29,4.58,3.36,10.64,10.12,0.05,18.2,43.05,14.0,2.23,1.34,50,60,0,0,0,0,0
2023-01-02 13:22:42.570838055,WQ000033,Assam,Rural,Spring,Monsoon,6.66,15.51,219.95,9.79,2.15,31.6,73.42,5.0,0.06,5.0,76.86,26.32,15.96,0.07,100,40,0,1,0,1,1
2023-01-02 14:32:47.651176745,WQ000034,Arunachal Pradesh,Urban,Hand Pump,Pre-Monsoon,6.05,18.91,500.01,5.22,9.48,82.67,265.5,39.23,1.46,5.0,125.36,22.13,2.37,0.11,100,40,1,1,0,1,1
2023-01-02 15:42:52.731515434,WQ000035,Arunachal Pradesh,Rural,Spring,Monsoon,7.31,34.8,50.0,5.6,0.94,5.84,17.88,4.79,0.01,5.0,109.97,23.93,0.22,0.38,50,40,0,0,0,0,0
2023-01-02 16:52:57.811854123,WQ000036,Mizoram,Rural,Stream,Post-Monsoon,8.37,5.67,366.47,8.0,6.98,4.66,12.56,9.17,0.87,5.0,113.72,22.96,5.15,0.29,1000,60,0,0,0,0,0
2023-01-02 18:03:02.892192812,WQ000037,Meghalaya,Rural,Spring,Monsoon,6.58,18.1,271.85,6.59,3.27,63.69,136.32,11.06,0.23,5.0,105.34,20.42,2.41,0.12,200,80,1,1,0,0,1
2023-01-02 19:13:07.972531502,WQ000038,Assam,Rural,River,Post-Monsoon,7.25,34.07,157.87,5.04,1.17,15.89,38.23,1.35,0.99,5.0,170.73,23.42,3.18,0.25,200,20,0,0,0,0,0
2023-01-02 20:23:13.052870191,WQ000039,Manipur,Urban,River,Post-Monsoon,5.31,5.1,532.68,5.52,0.67,0.54,1.32,12.35,0.21,42.63,169.21,26.45,14.16,0.58,100,60,0,0,0,0,0
2023-01-02 21:33:18.133208880,WQ000040,Meghalaya,Rural,River,Pre-Monsoon,6.65,14.31,50.0,1.91,0.98,9.87,34.16,2.24,0.56,49.27,45.48,31.16,5.18,0.29,200,60,0,0,0,0,0
2023-01-02 22:43:23.213547569,WQ000041,Assam,Rural,Well,Post-Monsoon,6.44,4.86,543.73,7.61,0.72,28.84,97.8,20.15,0.68,16.28,147.76,26.01,15.74,0.85,100,60,0,0,0,0,0
2023-01-02 23:53:28.293886259,WQ000042,Tripura,Rural,River,Pre-Monsoon,6.31,0.34,135.41,6.52,6.76,62.03,127.74,3.34,0.05,13.31,146.2,24.7,1.14,0.18,50,40,0,1,0,0,1
2023-01-03 01:03:33.374224948,WQ000043,Assam,Rural,Hand Pump,Monsoon,6.07,47.74,497.47,7.07,1.99,73.02,237.08,12.52,0.95,48.41,112.84,26.66,12.34,1.02,2000,60,1,0,0,1,1
2023-01-03 02:13:38.454563637,WQ000044,Arunachal Pradesh,Rural,Stream,Post-Monsoon,6.55,0.83,240.9,7.92,3.14,0.19,0.53,1.32,2.07,31.26,63.12,27.97,1.69,0.15,50,60,0,0,0,0,0
2023-01-03 03:23:43.534902326,WQ000045,Assam,Rural,Stream,Winter,5.84,8.53,76.48,8.83,0.5,8.42,23.58,8.49,0.04,50.17,88.18,20.97,5.66,2.21,200,80,0,0,0,0,0
2023-01-03 04:33:48.615241016,WQ000046,Nagaland,Rural,Hand Pump,Post-Monsoon,6.61,1.9,286.61,6.53,8.28,5.45,16.32,1.89,0.16,60.09,97.31,29.35,5.85,0.19,50,40,0,0,0,0,0
2023-01-03 05:43:53.695579705,WQ000047,Meghalaya,Rural,River,Post-Monsoon,6.17,16.19,428.94,4.91,6.07,21.42,72.64,6.29,0.3,40.36,35.89,25.59,11.78,0.48,500,40,0,0,0,0,0
2023-01-03 06:53:58.775918394,WQ000048,Tripura,Rural,Pond,Winter,7.63,1.57,224.23,5.34,1.96,38.74,129.89,11.58,0.02,34.43,70.67,19.76,4.64,0.8,50,60,0,0,0,0,0
2023-01-03 08:04:03.856257083,WQ000049,Tripura,Rural,Hand Pump,Pre-Monsoon,7.26,1.06,386.43,7.77,8.31,28.45,85.6,1.42,0.44,73.11,113.39,26.66,4.72,0.04,100,40,0,0,0,0,0
2023-01-03 09:14:08.936595773,WQ000050,Assam,Rural,Spring,Winter,7.27,4.04,446.57,8.39,2.1,7.66,22.44,5.85,0.19,5.0,45.98,14.88,3.58,0.19,200,60,0,0,0,0,0
2023-01-03 10:24:14.016934462,WQ000051,Arunachal Pradesh,Urban,Well,Monsoon,7.38,12.01,559.02,4.54,8.19,84.07,190.81,46.08,0.67,96.4,76.37,26.1,4.65,1.55,2000,60,1,1,0,1,1
2023-01-03 11:34:19.097273151,WQ000052,Mizoram,Rural,Spring,Pre-Monsoon,6.34,11.96,358.86,7.89,2.77,18.9,39.22,12.56,0.52,42.54,15.0,22.99,4.22,0.59,100,20,0,0,0,0,0
2023-01-03 12:44:24.177611840,WQ000053,Arunachal Pradesh,Rural,Hand Pump,Monsoon,6.82,25.15,513.2,7.65,1.01,30.88,99.72,2.89,0.54,20.7,111.72,30.62,12.65,0.96,200,60,0,1,0,0,1
2023-01-03 13:54:29.257950530,WQ000054,Arunachal Pradesh,Urban,Spring,Pre-Monsoon,7.86,2.79,468.9,6.52,5.68,40.57,99.23,6.79,0.69,38.85,35.87,25.29,6.02,0.28,50,80,0,0,0,0,0
2023-01-03 15:04:34.338289219,WQ000055,Nagaland,Rural,River,Monsoon,5.88,8.51,337.07,5.73,1.03,83.5,240.75,2.45,0.68,41.72,116.33,23.15,7.1,0.21,1000,80,1,0,0,0,1
2023-01-03 16:14:39.418627908,WQ000056,Arunachal Pradesh,Rural,Pond,Monsoon,5.0,15.04,510.6,5.73,1.07,11.03,36.04,34.91,0.13,51.87,105.56,20.42,6.44,0.23,2000,40,1,1,1,1,1
2023-01-03 17:24:44.498966597,WQ000057,Assam,Rural,Pond,Monsoon,6.05,14.04,475.17,2.13,4.15,224.05,745.12,7.77,0.05,44.84,15.0,26.51,1.43,2.0,50,60,1,1,1,1,1
2023-01-03 18:34:49.579305287,WQ000058,Assam,Rural,River,Monsoon,7.37,34.66,326.75,3.58,2.38,77.43,230.69,2.47,0.15,102.93,65.3,25.29,7.05,1.67,50,40,1,1,1,1,1
2023-01-03 19:44:54.659643976,WQ000059,Assam,Rural,Hand Pump,Monsoon,5.84,11.19,449.88,3.05,2.36,28.69,63.16,8.53,1.17,20.49,147.06,27.59,6.85,0.01,100,60,0,0,0,0,0
2023-01-03 20:54:59.739982665,WQ000060,Meghalaya,Rural,Pond,Post-Monsoon,6.63,15.68,388.04,5.24,1.59,71.68,207.55,1.34,0.02,37.05,83.15,28.35,8.25,0.12,100,40,1,1,0,1,1
2023-01-03 22:05:04.820321354,WQ000061,Meghalaya,Rural,Hand Pump,Monsoon,5.98,4.02,426.73,5.93,0.88,14.36,37.53,1.1,1.22,5.0,66.6,28.42,12.48,1.01,2000,40,0,0,0,0,0
2023-01-03 23:15:09.900660044,WQ000062,Assam,Rural,River,Pre-Monsoon,6.85,14.15,613.58,2.66,3.12,5.95,12.41,0.78,0.15,129.49,34.46,32.12,9.12,1.49,500,100,0,0,0,0,0
2023-01-04 00:25:14.980998733,WQ000063,Mizoram,Rural,Hand Pump,Monsoon,5.76,6.35,237.4,4.07,12.07,160.02,557.21,4.73,0.65,41.54,144.09,27.98,0.29,0.81,100,60,1,1,1,1,1
2023-01-04 01:35:20.061337422,WQ000064,Meghalaya,Rural,River,Monsoon,5.41,27.25,385.66,5.12,0.51,59.4,146.36,25.26,0.09,36.33,134.39,28.49,19.95,0.7,200,60,1,0,0,0,1
2023-01-04 02:45:25.141676111,WQ000065,Assam,Rural,Pond,Winter,6.65,5.83,354.28,9.18,0.5,115.06,321.06,0.54,0.1,64.35,115.09,16.0,3.55,0.23,100,40,1,1,1,0,1
2023-01-04 03:55:30.222014801,WQ000066,Tripura,Rural,River,Post-Monsoon,6.78,14.59,460.35,4.37,1.24,61.65,198.82,40.41,1.34,60.8,91.76,29.17,28.59,2.2,200,100,0,1,0,0,1
2023-01-04 05:05:35.302353490,WQ000067,Assam,Rural,River,Post-Monsoon,7.89,1.84,286.74,5.39,2.97,56.52,155.85,0.86,1.0,5.66,125.2,27.6,20.84,0.76,500,40,0,0,0,0,0
2023-01-04 06:15:40.382692179,WQ000068,Mizoram,Rural,Stream,Pre-Monsoon,7.05,8.46,270.7,10.18,3.93,4.2,9.91,1.94,0.06,71.34,63.11,25.06,7.21,1.26,200,80,0,0,0,0,0
2023-01-04 07:25:45.463030868,WQ000069,Assam,Rural,Hand Pump,Monsoon,5.66,33.08,340.99,8.97,1.79,104.29,236.45,1.59,1.93,18.11,35.86,27.94,3.66,0.09,50,80,1,1,1,1,1
2023-01-04 08:35:50.543369558,WQ000070,Arunachal Pradesh,Urban,Spring,Monsoon,6.01,26.24,416.51,7.28,0.5,28.97,97.98,3.53,0.19,5.0,100.68,32.45,6.84,0.28,200,60,0,0,0,0,0
2023-01-04 09:45:55.623708247,WQ000071,Mizoram,Urban,River,Post-Monsoon,7.57,5.84,286.01,9.06,1.94,21.02,55.4,37.39,0.08,16.0,191.54,26.71,28.07,0.85,1000,40,0,0,0,0,0
2023-01-04 10:56:00.704046936,WQ000072,Assam,Rural,River,Post-Monsoon,6.66,7.88,50.0,2.48,6.41,0.77,1.86,1.53,0.09,36.46,88.49,22.75,13.35,0.84,50,60,0,0,0,0,0
2023-01-04 12:06:05.784385625,WQ000073,Assam,Rural,Well,Winter,6.13,1.53,216.7,6.95,1.63,22.71,62.74,41.17,1.3,36.71,147.75,21.18,13.53,0.37,1000,20,0,0,0,0,0
2023-01-04 13:16:10.864724314,WQ000074,Mizoram,Rural,Pond,Monsoon,6.67,4.27,548.03,3.89,0.5,37.18,86.94,19.59,0.12,8.9,30.07,24.68,3.65,0.37,200,60,1,0,0,0,1
2023-01-04 14:26:15.945063004,WQ000075,Manipur,Urban,Well,Monsoon,5.97,5.44,566.57,5.0,0.65,45.9,111.81,11.58,0.12,24.03,127.24,24.54,6.52,0.38,100,20,1,0,0,0,1
2023-01-04 15:36:21.025401693,WQ000076,Manipur,Rural,Stream,Monsoon,6.98,30.81,280.52,6.11,2.6,145.27,455.6,13.31,0.23,39.53,74.77,23.0,0.5,1.19,500,80,1,1,1,1,1
2023-01-04 16:46:26.105740382,WQ000077,Mizoram,Rural,Hand Pump,Post-Monsoon,7.29,1.28,601.65,3.36,1.5,48.76,155.16,4.59,0.41,5.0,30.54,27.66,0.47,0.1,1000,40,0,0,0,0,0
2023-01-04 17:56:31.186079071,WQ000078,Assam,Rural,Stream,Monsoon,5.68,6.21,304.28,7.84,0.5,38.49,95.19,0.85,1.08,27.44,154.07,25.66,7.65,0.9,100,80,0,0,0,0,0
2023-01-04 19:06:36.266417761,WQ000079,Meghalaya,Rural,Well,Pre-Monsoon,8.43,17.72,135.1,3.51,5.04,12.22,25.54,12.5,0.12,27.4,109.71,24.69,7.56,0.9,200,40,1,1,0,1,1
2023-01-04 20:16:41.346756450,WQ000080,Assam,Rural,Stream,Winter,6.9,9.85,307.15,8.86,1.97,10.5,26.96,2.09,0.75,5.0,66.93,17.12,1.62,1.1,200,60,0,0,0,0,0
2023-01-04 21:26:46.427095139,WQ000081,Arunachal Pradesh,Rural,Pond,Post-Monsoon,5.0,9.25,451.56,5.03,4.3,103.13,311.07,15.99,0.63,17.51,134.37,29.82,1.79,1.73,50,40,1,1,1,0,1
2023-01-04 22:36:51.507433828,WQ000082,Nagaland,Rural,Spring,Monsoon,6.9,10.63,270.86,5.78,4.95,30.97,104.15,3.62,0.31,10.45,70.31,26.85,1.47,0.63,500,40,0,0,0,0,0
2023-01-04 23:46:56.587772518,WQ000083,Meghalaya,Rural,Pond,Monsoon,5.0,21.21,434.47,6.08,0.52,69.18,215.02,6.62,0.82,20.8,88.01,27.73,7.26,0.27,100,60,1,1,0,0,1
2023-01-05 00:57:01.668111207,WQ000084,Assam,Rural,Well,Post-Monsoon,7.83,5.84,387.37,1.72,6.04,11.79,26.6,2.83,0.26,5.0,85.67,29.74,7.45,0.36,200,80,0,0,0,0,0
2023-01-05 02:07:06.748449896,WQ000085,Meghalaya,Rural,Hand Pump,Pre-Monsoon,7.05,0.52,309.9,3.69,1.25,26.74,73.38,14.25,0.76,42.04,123.65,28.04,5.8,0.35,200,80,0,0,0,0,0
2023-01-05 03:17:11.828788585,WQ000086,Meghalaya,Rural,River,Post-Monsoon,6.88,6.01,458.69,3.98,0.57,0.94,2.32,8.64,0.04,36.51,140.46,26.71,12.69,0.16,100,20,0,0,0,0,0
2023-01-05 04:27:16.909127275,WQ000087,Manipur,Rural,Pond,Monsoon,6.53,10.53,522.08,3.77,1.33,52.69,161.32,12.48,0.36,39.38,85.29,25.09,6.7,0.65,200,60,1,0,0,0,1
2023-01-05 05:37:21.989465964,WQ000088,Nagaland,Rural,Hand Pump,Winter,7.4,0.85,375.45,8.25,10.3,59.59,205.91,12.96,0.69,47.78,112.21,20.1,16.37,0.45,100,20,0,0,0,0,0
2023-01-05 06:47:27.069804653,WQ000089,Arunachal Pradesh,Rural,Spring,Post-Monsoon,6.55,2.95,432.56,8.41,6.88,8.01,17.75,41.08,0.24,37.8,90.92,26.09,5.6,1.02,50,80,0,0,0,0,0
2023-01-05 07:57:32.150143342,WQ000090,Tripura,Rural,Stream,Winter,6.92,15.76,146.1,8.02,8.42,19.15,46.99,8.28,0.39,68.87,112.53,24.02,54.45,0.04,500,60,0,0,0,0,0
2023-01-05 09:07:37.230482032,WQ000091,Assam,Rural,Pond,Monsoon,6.63,28.49,544.81,5.85,0.5,64.43,184.06,2.69,1.29,5.0,85.17,27.03,5.56,0.79,500,20,1,1,1,1,1
2023-01-05 10:17:42.310820721,WQ000092,Manipur,Rural,Hand Pump,Monsoon,5.0,42.91,275.38,7.54,0.74,245.9,563.56,0.7,0.09,10.68,133.78,25.5,4.59,0.71,2000,60,1,1,1,1,1
2023-01-05 11:27:47.391159410,WQ000093,Manipur,Rural,Stream,Monsoon,7.01,22.1,229.36,4.7,3.63,124.89,323.89,24.4,0.66,57.72,121.61,27.42,24.74,0.43,500,60,1,1,1,0,1
2023-01-05 12:37:52.471498099,WQ000094,Tripura,Rural,Hand Pump,Winter,7.54,7.01,474.15,6.01,4.45,25.48,82.15,0.64,0.01,58.37,81.75,19.93,5.55,0.1,200,80,0,0,0,0,0
2023-01-05 13:47:57.551836789,WQ000095,Mizoram,Rural,Spring,Monsoon,6.89,2.62,296.27,6.5,2.05,15.79,39.73,8.77,0.52,97.62,52.22,29.86,0.07,0.09,100,40,0,0,1,0,1
2023-01-05 14:58:02.632175478,WQ000096,Tripura,Rural,Spring,Monsoon,6.84,1.98,252.81,9.87,1.12,56.95,129.04,3.17,1.16,5.0,107.58,23.9,3.51,0.64,200,100,0,0,0,0,0
2023-01-05 16:08:07.712514167,WQ000097,Tripura,Rural,Pond,Monsoon,7.81,4.96,308.9,5.42,1.17,95.22,238.27,26.21,0.47,5.0,53.87,21.16,2.04,1.04,1000,40,1,1,0,1,1
2023-01-05 17:18:12.792852856,WQ000098,Meghalaya,Rural,River,Post-Monsoon,6.9,2.64,179.75,3.39,2.16,22.27,69.53,8.42,0.36,43.16,21.11,23.17,4.87,0.14,50,40,0,0,0,0,0
2023-01-05 18:28:17.873191546,WQ000099,Assam,Rural,Spring,Winter,6.92,6.54,251.33,8.69,0.5,12.16,29.62,7.7,0.12,5.0,166.18,19.37,4.4,0.08,50,40,0,0,0,0,0
2023-01-05 19:38:22.953530235,WQ000100,Assam,Rural,Hand Pump,Post-Monsoon,6.41,14.69,493.12,7.89,3.29,58.01,169.58,7.0,0.17,10.97,94.67,29.43,4.61,0.14,100,80,0,0,0,0,0
2023-01-05 20:48:28.033868924,WQ000101,Assam,Rural,Stream,Pre-Monsoon,5.4,15.5,513.21,7.71,2.38,14.5,46.64,13.89,1.83,36.63,59.36,24.84,0.85,0.34,50,20,0,1,0,1,1
2023-01-05 21:58:33.114207613,WQ000102,Nagaland,Rural,River,Winter,7.3,8.03,359.16,6.56,1.99,17.87,40.31,0.32,0.14,26.32,92.05,17.03,3.79,0.02,200,40,0,0,0,0,0
2023-01-05 23:08:38.194546303,WQ000103,Meghalaya,Rural,River,Monsoon,6.1,14.93,254.88,8.09,0.62,28.58,93.03,9.83,0.1,71.66,190.72,26.17,4.69,1.0,50,100,0,0,0,1,1
2023-01-06 00:18:43.274884992,WQ000104,Tripura,Rural,River,Winter,5.39,1.96,407.93,6.57,0.54,83.28,219.14,5.9,0.35,78.11,120.13,17.3,9.02,0.29,50,60,0,0,0,0,0
2023-01-06 01:28:48.355223681,WQ000105,Arunachal Pradesh,Urban,Pond,Pre-Monsoon,6.87,19.46,84.51,3.62,0.5,104.76,321.78,3.82,0.21,18.99,82.89,26.88,7.52,0.42,100,60,1,1,1,1,1
2023-01-06 02:38:53.435562370,WQ000106,Assam,Urban,Stream,Pre-Monsoon,6.85,7.78,513.94,5.91,10.27,2.29,7.64,16.94,0.39,5.0,150.56,26.83,1.98,0.15,200,60,0,0,0,0,0
2023-01-06 03:48:58.515901060,WQ000107,Meghalaya,Rural,River,Monsoon,6.35,13.34,340.25,8.55,5.69,18.74,63.65,1.69,0.38,13.98,45.36,25.05,6.56,4.0,100,60,0,0,0,0,0
2023-01-06 04:59:03.596239749,WQ000108,Manipur,Rural,Well,Monsoon,6.64,1.92,205.19,4.42,2.43,85.14,216.68,24.64,1.16,29.06,99.62,22.71,1.04,0.6,50,100,1,1,0,0,1
2023-01-06 06:09:08.676578438,WQ000109,Assam,Rural,Well,Monsoon,5.28,30.59,558.2,4.9,0.89,47.2,164.38,1.35,1.15,111.85,146.79,22.89,9.5,1.16,500,40,1,1,1,1,1
2023-01-06 07:19:13.756917127,WQ000110,Assam,Rural,River,Monsoon,7.33,7.51,355.96,6.27,3.97,52.2,147.39,5.84,0.12,79.58,88.21,25.72,7.43,0.12,200,60,0,0,0,0,0
2023-01-06 08:29:18.837255817,WQ000111,Assam,Rural,River,Pre-Monsoon,7.28,16.16,290.33,8.53,0.5,7.0,22.11,0.35,0.2,5.0,131.98,22.93,6.07,0.15,100,60,0,0,0,0,0
2023-01-06 09:39:23.917594506,WQ000112,Assam,Rural,River,Monsoon,7.53,3.23,636.95,6.85,4.67,129.29,338.84,2.51,0.2,49.22,155.64,25.78,5.31,1.37,50,60,1,1,1,0,1
2023-01-06 10:49:28.997933195,WQ000113,Arunachal Pradesh,Urban,Hand Pump,Monsoon,6.09,0.87,276.45,3.79,7.12,96.48,240.31,1.99,0.67,40.91,63.55,24.35,1.12,0.28,1000,40,1,1,0,1,1
2023-01-06 11:59:34.078271884,WQ000114,Mizoram,Rural,River,Winter,7.28,3.99,454.81,5.71,0.94,24.55,73.96,7.11,0.99,27.03,151.12,17.94,2.84,0.55,50,20,0,0,0,0,0
2023-01-06 13:09:39.158610574,WQ000115,Nagaland,Rural,Hand Pump,Winter,5.44,0.57,447.06,5.71,1.89,15.1,34.0,3.68,0.69,86.19,109.11,20.38,7.56,0.56,50,40,0,0,0,0,0
2023-01-06 14:19:44.238949263,WQ000116,Arunachal Pradesh,Rural,River,Winter,6.27,0.45,231.35,6.8,2.66,31.19,104.77,0.97,0.14,12.14,41.32,16.8,2.75,0.31,50,60,0,0,0,0,0
2023-01-06 15:29:49.319287952,WQ000117,Mizoram,Rural,River,Post-Monsoon,5.83,8.76,330.45,2.75,0.63,4.32,14.45,18.92,0.37,21.32,155.24,29.94,6.09,0.35,2000,60,0,0,0,0,0
2023-01-06 16:39:54.399626641,WQ000118,Assam,Urban,Well,Post-Monsoon,7.14,2.08,314.72,2.81,1.73,21.69,74.71,1.57,0.43,42.92,99.86,23.24,12.86,0.34,200,60,0,0,0,0,0
