sample_date,state,location_type,water_source,season,ph,turbidity_ntu,tds_mg_l,dissolved_oxygen_mg_l,bod_mg_l,fecal_coliform_mpn,total_coliform_mpn,nitrate_mg_l,fluoride_mg_l,chloride_mg_l,hardness_mg_l,temperature_c,arsenic_ug_l,iron_mg_l,population_served,sanitation_access_percent,cholera_outbreak,typhoid_outbreak,dysentery_outbreak,hepatitis_a_outbreak,overall_outbreak
2024-06-01,Mizoram,Urban,River,Pre-Monsoon,6.68,1.58,527.5,6.43,8.18,15.5,34.1,19.24,0.171,16.4,96.5,29.4,8.88,0.094,200,40,0,0,0,0,0
2023-07-11,Arunachal Pradesh,Rural,Stream,Pre-Monsoon,6.58,3.16,594.3,5.41,6.66,59.6,121.8,15.87,0.326,48.1,110.1,28.1,1.47,1.443,50,40,0,1,0,0,1
2024-12-19,Arunachal Pradesh,Urban,River,Winter,7.9,10.81,626.5,4.95,1.03,0.2,0.7,18.11,0.601,7.8,86.2,13.4,28.54,0.849,1000,60,0,0,0,0,0
2024-06-17,Nagaland,Rural,Hand Pump,Winter,6.96,8.38,111.5,5.39,10.24,42.2,116.0,9.35,0.549,33.7,141.2,17.4,47.74,1.584,50,60,0,0,0,0,0
2024-03-28,Arunachal Pradesh,Rural,River,Monsoon,5.87,30.7,301.8,6.7,0.5,70.4,148.2,15.82,0.152,22.3,19.6,23.6,36.37,0.658,100,40,0,0,1,1,1
2024-09-08,Assam,Rural,Well,Pre-Monsoon,6.91,2.66,456.8,7.25,1.49,9.7,24.3,36.92,0.227,1.0,65.8,27.6,7.11,1.066,100,20,0,0,0,0,0
2024-12-20,Assam,Rural,Well,Post-Monsoon,6.94,1.7,532.8,4.65,0.81,37.8,83.6,40.85,0.37,38.5,48.9,24.8,4.24,1.08,100,60,0,0,0,0,0
2023-08-28,Assam,Rural,Stream,Monsoon,5.84,11.16,149.4,5.14,0.73,188.4,356.3,9.02,1.9,18.1,92.8,22.7,7.27,1.633,2000,40,1,1,1,1,1
2024-02-06,Meghalaya,Rural,Well,Monsoon,6.79,2.04,266.0,5.96,1.95,2.9,5.9,33.63,0.172,7.3,122.4,30.9,9.39,0.783,500,60,0,0,0,0,0
2024-07-10,Meghalaya,Rural,Well,Winter,6.29,6.63,337.1,1.3,0.51,20.2,36.4,14.46,0.367,6.5,116.0,23.3,2.96,0.619,1000,80,0,0,0,0,0
2023-07-12,Assam,Rural,Spring,Winter,6.23,9.31,599.6,6.32,1.23,2.5,3.9,12.2,0.548,17.4,51.0,18.3,2.83,0.388,200,60,0,0,0,0,0
2024-10-06,Mizoram,Rural,Stream,Monsoon,5.81,66.24,434.7,8.66,0.88,7.2,19.5,30.09,0.855,29.7,115.9,23.7,3.92,0.712,50,20,0,1,0,1,1
2023-04-09,Meghalaya,Rural,Stream,Monsoon,6.32,62.79,194.9,5.95,2.82,496.2,1455.8,5.69,0.106,106.6,60.5,23.5,7.5,1.26,5000,60,1,1,1,1,1
2023-10-04,Assam,Rural,Well,Monsoon,6.76,0.99,484.3,3.72,0.5,412.7,919.4,14.45,0.096,53.7,44.4,25.0,13.36,0.223,100,60,1,1,1,1,1
2024-05-06,Tripura,Rural,Stream,Post-Monsoon,7.28,39.27,71.5,8.11,5.07,12.6,23.8,36.13,0.098,88.2,110.8,26.1,14.6,0.768,100,20,0,0,0,0,0
2024-09-30,Assam,Rural,Stream,Post-Monsoon,7.47,9.66,401.0,6.95,1.99,146.6,256.5,21.6,0.457,55.6,169.3,23.5,5.19,0.74,500,40,0,0,0,1,1
2023-05-02,Mizoram,Rural,River,Pre-Monsoon,6.45,4.85,345.8,8.13,0.5,116.3,235.5,16.52,1.859,1.0,53.3,27.3,0.45,0.151,1000,40,0,1,0,1,1
2023-11-06,Assam,Rural,Stream,Monsoon,5.64,43.51,255.3,7.92,1.36,17.5,33.0,30.95,0.357,13.3,128.7,28.6,3.1,1.947,100,60,0,0,0,0,0
2024-04-24,Sikkim,Urban,River,Pre-Monsoon,6.96,12.16,434.7,6.67,3.3,24.7,48.6,10.93,0.158,30.8,171.9,26.1,1.13,0.068,200,80,0,0,0,0,0
2023-10-10,Mizoram,Rural,Stream,Pre-Monsoon,7.02,28.92,583.5,6.39,0.57,11.5,17.4,11.51,1.917,74.7,29.6,31.4,1.54,0.321,2000,40,0,0,0,1,1
2023-04-19,Assam,Rural,Stream,Pre-Monsoon,6.23,3.75,491.8,7.19,2.69,141.2,318.4,5.25,0.133,1.0,62.2,28.6,7.11,0.422,50,40,0,1,0,1,1
2024-11-28,Assam,Rural,Stream,Pre-Monsoon,6.47,31.33,457.0,5.97,2.25,133.5,388.4,5.38,0.43,75.8,29.6,30.2,4.52,0.328,100,60,1,1,0,1,1
2024-06-07,Mizoram,Rural,River,Monsoon,6.13,21.86,50.0,5.82,0.5,112.1,178.3,21.18,0.116,1.0,76.4,29.4,0.32,0.123,200,100,1,0,0,1,1
2023-07-26,Manipur,Rural,Spring,Pre-Monsoon,6.17,5.58,180.2,7.89,0.5,123.0,289.7,16.66,1.618,1.0,133.4,28.5,2.87,1.454,100,40,0,0,0,1,1
2023-04-03,Manipur,Rural,Well,Monsoon,6.65,12.11,748.6,5.48,1.25,16.0,41.3,9.73,2.796,80.5,150.9,26.2,10.06,0.655,100,40,0,1,0,0,1
2024-05-06,Mizoram,Rural,Stream,Pre-Monsoon,5.34,5.59,598.6,9.03,6.62,68.5,187.6,26.36,0.332,2.6,55.2,27.4,5.72,0.095,50,20,0,1,0,1,1
2023-07-28,Assam,Rural,River,Monsoon,8.41,26.25,51.9,5.24,2.02,35.0,70.1,48.53,0.242,1.0,53.9,29.2,15.9,0.01,200,60,0,0,0,1,1
2024-10-15,Meghalaya,Rural,Stream,Winter,6.45,16.87,182.8,7.68,4.05,26.3,75.7,17.55,0.373,149.5,47.4,19.0,13.43,0.495,50,80,0,0,0,0,0
2023-07-12,Assam,Rural,Well,Winter,6.01,13.6,214.1,10.68,2.26,32.3,84.7,24.68,0.289,78.0,130.4,15.1,7.67,2.775,2000,60,0,0,0,0,0
2024-03-11,Arunachal Pradesh,Rural,Spring,Pre-Monsoon,6.58,0.74,310.3,5.14,0.5,130.6,239.9,28.22,0.515,1.0,86.1,31.4,5.96,0.366,100,40,0,1,0,1,1
2023-03-08,Nagaland,Urban,River,Post-Monsoon,6.4,2.92,146.9,7.9,2.82,26.6,46.3,0.1,0.614,1.0,100.9,29.2,8.79,1.858,500,60,0,0,0,0,0
2023-10-19,Meghalaya,Rural,Hand Pump,Pre-Monsoon,8.01,5.76,371.1,6.34,0.68,27.5,44.8,38.97,0.025,23.6,14.0,27.6,2.23,2.139,1000,80,0,0,0,0,0
2024-03-07,Assam,Rural,River,Pre-Monsoon,8.24,3.19,489.9,3.56,2.03,63.1,114.1,54.98,0.801,23.6,63.0,29.6,2.22,1.585,100,40,0,1,0,1,1
2024-01-19,Meghalaya,Rural,River,Pre-Monsoon,5.9,0.92,495.5,6.31,0.54,42.4,79.1,11.5,0.1,107.4,76.3,27.1,22.83,0.22,50,40,0,0,0,0,0
2024-07-19,Meghalaya,Rural,Stream,Monsoon,5.87,1.25,453.3,7.53,2.0,59.1,146.1,8.84,0.232,1.0,95.5,23.4,23.04,1.106,100,20,1,1,0,0,1
2024-04-27,Manipur,Rural,River,Winter,8.04,1.36,50.0,3.86,0.5,231.9,644.1,7.29,0.01,1.9,189.1,19.6,5.96,1.27,50,60,0,0,1,1,1
2024-11-21,Nagaland,Rural,Hand Pump,Pre-Monsoon,6.23,4.1,468.2,5.23,0.5,8.9,14.4,6.22,0.066,76.7,144.5,28.1,11.53,1.626,200,80,0,0,0,0,0
2023-11-09,Arunachal Pradesh,Urban,Spring,Winter,6.08,0.1,391.5,8.15,0.5,42.2,83.2,0.68,0.588,110.3,132.7,18.8,28.35,0.16,50,20,0,0,0,0,0
2024-09-29,Tripura,Rural,Hand Pump,Pre-Monsoon,6.22,0.24,469.1,4.95,3.6,86.3,199.2,43.09,0.545,74.1,151.7,30.7,0.25,1.354,200,80,0,0,0,0,0
2024-05-01,Assam,Rural,Spring,Monsoon,6.03,6.28,403.3,9.77,1.26,268.4,663.4,18.63,0.729,1.0,81.2,25.7,7.63,1.542,500,60,1,1,0,1,1
2023-02-09,Manipur,Rural,Stream,Monsoon,5.17,5.96,305.5,8.35,4.45,58.8,123.7,11.05,0.575,1.0,73.2,25.6,0.35,0.02,1000,20,1,1,0,1,1
2024-05-17,Manipur,Rural,Spring,Post-Monsoon,6.44,0.96,179.4,8.85,6.34,9.5,22.5,45.56,0.306,24.2,93.6,34.7,2.48,0.128,1000,80,0,0,0,0,0
2024-03-22,Tripura,Rural,Stream,Winter,7.94,4.59,249.1,6.6,2.24,77.9,130.6,11.93,0.176,1.3,49.8,17.7,60.01,1.27,100,60,0,0,0,0,0
2024-11-21,Mizoram,Urban,River,Pre-Monsoon,6.22,18.82,493.2,5.48,0.5,6.8,14.8,21.29,0.157,3.8,42.1,25.0,7.38,0.537,200,80,0,0,0,0,0
2023-04-29,Tripura,Urban,Hand Pump,Pre-Monsoon,6.3,0.79,514.7,4.52,0.77,47.1,131.1,9.52,0.493,106.8,122.7,27.4,1.55,0.19,200,20,0,0,0,0,0
2024-02-09,Tripura,Rural,Rainwater,Monsoon,5.94,1.15,549.5,5.36,1.64,328.1,544.8,51.02,0.533,9.6,116.8,22.1,12.15,0.327,1000,60,1,1,1,1,1
2023-09-08,Meghalaya,Rural,Stream,Monsoon,6.64,150.0,80.7,5.35,3.44,65.7,142.6,15.08,0.411,44.7,79.8,25.1,2.66,0.936,1000,60,0,0,0,1,1
2024-07-15,Assam,Rural,Stream,Monsoon,8.8,4.31,385.6,6.67,0.5,55.8,166.9,35.33,0.069,7.6,114.0,24.0,0.77,0.484,100,80,0,0,0,0,0
2024-09-01,Assam,Rural,River,Post-Monsoon,6.68,18.19,302.5,5.77,4.76,66.8,141.9,5.56,0.319,35.4,57.7,28.1,14.1,0.751,500,40,0,0,0,1,1
2023-01-12,Assam,Rural,Pond,Post-Monsoon,7.06,31.25,230.9,5.41,3.39,221.6,465.7,24.23,0.017,1.0,10.0,23.9,10.42,0.409,50,20,1,1,1,1,1
2024-06-09,Nagaland,Rural,Pond,Monsoon,8.23,40.67,593.8,1.72,0.5,252.4,478.3,6.2,0.069,48.1,113.1,26.1,2.57,0.475,5000,100,1,1,1,1,1
2023-12-31,Meghalaya,Rural,Well,Monsoon,5.75,16.63,50.0,8.26,2.46,40.9,78.5,26.84,0.015,11.0,63.7,26.3,3.93,0.251,500,60,0,0,0,0,0
2024-02-06,Tripura,Rural,River,Pre-Monsoon,6.27,4.72,590.4,4.77,1.64,97.3,278.0,28.69,0.401,24.8,153.8,26.3,13.87,0.178,2000,60,0,0,0,1,1
2024-12-09,Arunachal Pradesh,Rural,Pond,Monsoon,7.09,31.05,102.3,3.15,3.1,46.8,72.8,17.72,0.294,1.0,88.4,27.6,5.14,0.281,50,60,1,0,1,0,1
2023-06-20,Assam,Rural,River,Pre-Monsoon,7.18,12.2,272.6,5.41,2.73,20.5,31.6,8.02,0.102,96.4,147.4,22.0,5.1,1.406,200,40,0,0,0,0,0
2023-02-02,Meghalaya,Rural,Stream,Winter,7.48,15.52,353.5,7.44,0.9,64.5,126.8,11.82,0.818,1.0,84.8,21.6,6.41,0.062,500,40,0,1,0,0,1
2024-05-08,Manipur,Rural,Spring,Post-Monsoon,6.33,5.71,50.0,6.22,10.04,26.5,49.2,39.22,0.146,6.0,78.6,28.6,14.0,0.07,50,20,0,0,0,0,0
2023-10-22,Assam,Rural,Well,Monsoon,5.86,3.81,423.9,5.72,1.51,332.4,592.4,5.84,0.02,41.0,180.2,22.8,3.27,2.528,100,20,1,1,1,1,1
2024-08-08,Assam,Rural,Well,Monsoon,6.74,24.33,50.0,6.89,0.5,33.5,91.5,9.88,0.071,7.7,100.2,26.0,19.81,0.223,100,40,0,1,0,0,1
2024-03-13,Assam,Rural,Well,Pre-Monsoon,5.39,0.58,331.4,6.73,3.07,9.2,23.9,10.54,1.061,1.0,141.9,30.7,2.87,0.759,50,60,0,0,0,0,0
2024-06-14,Assam,Rural,Well,Winter,5.67,0.31,480.6,11.37,0.5,11.5,30.8,9.35,0.27,33.1,89.3,17.1,20.18,1.98,1000,40,0,0,0,0,0
2024-05-15,Arunachal Pradesh,Rural,Spring,Post-Monsoon,6.85,1.72,215.8,7.04,1.33,5.3,11.9,25.13,1.437,3.0,165.4,26.8,12.27,0.636,200,40,0,0,0,0,0
2023-01-13,Mizoram,Rural,Well,Monsoon,7.16,57.03,341.8,4.04,0.73,215.0,586.2,12.13,0.343,88.0,102.8,23.2,0.13,0.864,100,60,1,1,1,1,1
2024-12-21,Nagaland,Rural,River,Monsoon,6.75,3.91,382.2,7.44,7.11,106.9,269.2,25.04,0.244,72.4,39.8,22.0,3.71,0.555,1000,40,1,0,1,1,1
2023-10-26,Arunachal Pradesh,Rural,Stream,Pre-Monsoon,5.88,2.54,391.3,8.72,1.41,30.8,66.4,10.12,0.059,91.8,155.2,25.4,3.48,4.749,200,40,0,0,0,0,0
2024-07-25,Mizoram,Rural,River,Monsoon,4.85,8.84,160.0,6.32,2.44,35.6,97.7,20.12,0.347,1.0,10.0,23.9,2.76,0.091,500,60,0,0,0,0,0
2023-07-03,Assam,Rural,Pond,Monsoon,6.57,49.37,121.2,4.39,0.5,40.6,113.4,7.55,0.486,10.6,174.2,23.2,3.65,0.134,50,60,0,0,0,0,0
2024-03-20,Arunachal Pradesh,Rural,Rainwater,Monsoon,5.6,22.92,578.1,4.66,5.29,92.4,211.9,13.54,2.654,76.4,34.0,27.4,0.29,0.072,100,80,0,1,0,0,1
2023-11-11,Tripura,Rural,River,Post-Monsoon,6.38,11.32,246.0,3.98,3.47,97.1,281.0,8.56,0.201,1.0,145.3,24.3,7.1,3.019,50,40,0,0,1,0,1
2023-03-29,Mizoram,Rural,Spring,Monsoon,5.5,3.06,380.5,7.7,1.12,5.8,9.3,13.87,0.148,59.1,51.6,24.9,3.35,0.035,200,60,0,0,0,0,0
2023-03-26,Arunachal Pradesh,Rural,Stream,Pre-Monsoon,7.47,37.27,50.0,10.63,0.92,84.3,241.0,9.56,0.353,61.1,55.6,27.8,7.64,1.444,100,60,0,1,0,0,1
2023-10-28,Meghalaya,Rural,Stream,Post-Monsoon,6.75,2.01,201.3,8.88,0.86,16.6,27.8,25.04,0.968,1.0,81.4,26.7,30.19,0.214,500,60,0,0,0,0,0
2024-07-12,Assam,Rural,Spring,Monsoon,6.69,29.0,325.5,8.73,6.65,330.1,543.9,23.18,0.28,40.1,123.2,25.7,13.42,1.906,50,60,1,1,1,1,1
2023-07-10,Assam,Rural,River,Winter,8.37,0.6,454.8,5.32,3.1,7.8,14.5,9.17,0.103,81.7,135.7,16.4,0.41,0.768,500,20,0,0,0,0,0
2023-02-26,Meghalaya,Rural,River,Monsoon,6.3,66.18,559.3,6.48,0.5,87.6,142.9,8.03,0.013,60.1,90.1,22.0,1.08,0.784,2000,80,0,0,1,1,1
2024-01-12,Mizoram,Rural,Spring,Post-Monsoon,5.65,1.09,410.3,5.59,1.61,18.2,41.8,14.27,0.063,39.8,48.5,23.8,2.07,1.581,500,20,0,0,0,0,0
2023-01-19,Arunachal Pradesh,Rural,River,Monsoon,7.04,1.26,311.7,7.32,2.24,29.0,79.9,13.08,0.175,1.0,89.9,28.0,22.86,1.334,50,40,0,0,0,0,0
2024-11-03,Assam,Rural,Spring,Post-Monsoon,7.86,4.42,286.1,5.58,10.53,21.7,50.5,6.4,0.327,11.9,26.0,22.5,13.72,0.018,500,60,0,0,0,0,0
2024-01-21,Tripura,Rural,Stream,Pre-Monsoon,5.93,0.43,50.0,5.66,2.37,34.0,53.2,8.97,0.119,63.6,151.9,29.7,8.09,0.562,50,80,0,0,0,0,0
2024-03-28,Meghalaya,Rural,Well,Pre-Monsoon,6.34,3.36,329.9,4.97,0.54,6.9,10.6,9.81,0.231,7.4,55.2,28.8,8.07,0.457,1000,80,0,0,0,0,0
2024-03-31,Assam,Rural,Hand Pump,Monsoon,5.52,22.66,50.0,8.06,2.57,134.5,369.8,18.14,0.635,1.0,123.9,26.8,46.35,2.052,2000,40,1,1,1,1,1
2024-08-22,Assam,Urban,Hand Pump,Monsoon,6.04,3.37,654.0,6.47,4.54,41.6,90.6,3.56,0.157,35.3,82.6,25.2,16.16,0.267,50,80,0,0,0,0,0
2023-08-19,Meghalaya,Rural,River,Pre-Monsoon,5.69,27.0,116.1,5.36,0.5,6.7,17.6,15.7,0.358,69.6,17.8,32.4,6.61,3.092,100,80,0,0,0,0,0
2024-07-01,Arunachal Pradesh,Urban,Stream,Post-Monsoon,7.15,9.01,639.3,7.08,12.03,32.8,68.1,11.8,0.381,14.3,179.5,29.1,11.53,0.287,100,60,0,0,0,0,0
2023-02-08,Meghalaya,Rural,Rainwater,Monsoon,6.22,11.24,440.8,5.26,3.48,159.7,404.2,8.87,0.01,1.0,79.5,26.5,6.08,0.648,50,40,1,1,1,1,1
2023-11-27,Tripura,Urban,Stream,Post-Monsoon,5.77,23.04,691.4,6.8,1.48,41.0,90.7,3.58,0.186,1.0,193.8,31.8,11.15,0.083,200,60,0,0,0,0,0
2023-09-13,Manipur,Urban,Stream,Pre-Monsoon,7.87,1.03,356.1,7.72,1.96,87.0,228.7,4.63,0.065,1.0,66.2,24.6,4.52,3.832,1000,40,0,0,0,1,1
